오프셋,뱅크,원본HEX,일본어(전각카타카나),한국어번역,카테고리,비고
0x06CC8,Bank1,,クサ,잔디 (芝),마장,잔디 마장
0x0A2B4,Bank2,,?戦に勝っていますか?,?전에서 이겼습니까?,질문,
0x0A443,Bank2,,<>ハ4チャク[\テﾞスカ?,<>는 4착입니까?,질문,
0x0A6D5,Bank2,,%\3戦[\テﾞスカ?,%는 3전입니까?,질문,
0x0A859,Bank2,,6戦[]していますか?,6전 하고 있습니까?,질문,
0x0AC10,Bank2,,アキ1戦[[]テﾞスカ?,가을 1전입니까?,질문,
0x0AC1E,Bank2,,<>ハ5チャク[\テﾞスカ?,<>는 5착입니까?,질문,
0x0AC2E,Bank2,,G[?]ニ=>したことはありますか?,G[?]에 참가한 적 있습니까?,질문,
0x0B45A,Bank2,,オウカショウ,오카쇼 (桜花賞),경주명,실제 G1 경주 / 한신 1600m
0x0B47A,Bank2,,テンノウショウ(ハル),천황상 (봄),경주명,실제 G1 경주
0x0B49A,Bank2,,オークス,오크스,경주명,실제 G1 경주 / 도쿄 2400m 암말
0x0B4CA,Bank2,,テンノウショウ(アキ),천황상 (가을),경주명,실제 G1 경주
0x0B4EA,Bank2,,エリザベス女王杯,엘리자베스 여왕배,경주명,실제 G1 경주 / 교토 2400m
0x0B52A,Bank2,,ハンシン3歳S,한신 3세 스테이크스,경주명,실제 G1 경주
0x0B55A,Bank2,,トウスウハ?,두수는?,질문,
0x0B5D1,Bank2,,ババジョウタイハ?,마장 상태는?,질문,
0x0B64B,Bank2,,ナカヤマ,나카야마,경마장,中山 경마장
0x0B653,Bank2,,トウキョウ,도쿄,경마장,東京 경마장
0x0B65B,Bank2,,ハンシン,한신,경마장,阪神 경마장
0x0B663,Bank2,,チュウキョウ,주쿄,경마장,中京 경마장
0x0B66B,Bank2,,キョウト,교토,경마장,京都 경마장
0x0B673,Bank2,,サッポロ,삿포로,경마장,札幌 경마장
0x0B67B,Bank2,,ハコダテ,하코다테,경마장,函館 경마장
0x0B683,Bank2,,フクシマ,후쿠시마,경마장,福島 경마장
0x0B68B,Bank2,,ニイガタ,니가타,경마장,新潟 경마장
0x0B693,Bank2,,コクラ,고쿠라,경마장,小倉 경마장
0x0B69B,Bank2,,キョリハドノクライデスカ?,거리는 얼마나 됩니까?,질문,
0x0B72E,Bank2,,フタンジュウリョウハ?,부담 중량은?,질문,
0x0B7A0,Bank2,,トウメ,두수,UI,출전 두수
0x0B7B5,Bank2,,セイベツ,성별,말 정보,
0x0B7C5,Bank2,,フタンジュウリョウ,부담 중량,말 정보,
0x0B7D5,Bank2,,キシュノジッセキ,기수 실적,말 정보,
0x0B7E5,Bank2,,コース,코스,경마 정보,
0x0B7F5,Bank2,,キョリテキセイ,거리 적성,말 정보,
0x0B805,Bank2,,オモババテキセイ,중마장 적성,말 정보,
0x0B815,Bank2,,カクヅケ,등급,말 정보,
0x0B825,Bank2,,サイキンノセイセキ,최근 성적,말 정보,
0x0B835,Bank2,,カコノジッセキ,과거 실적,말 정보,
0x0B845,Bank2,,チョウキョウジョウタイ,조교 상태,말 정보,
0x0B855,Bank2,,バタイジュウ,마체중,말 정보,
0x0B865,Bank2,,キュウヨウ,휴양,말 정보,
0x0B875,Bank2,,キャクシツ,마방,말 정보,안정/마굿간
0x0B885,Bank2,,ドノコウモクヲシュウセイシマスカ?,어느 항목을 수정하시겠습니까?,질문,
0x0B972,Bank2,,セイベツハ?,성별은?,질문,
0x0BA41,Bank2,,ニゲ,도주 (逃げ),주법,선두 도주 전략
0x0BA47,Bank2,,センコウ,선행 (先行),주법,페이스 세터 전략
0x0BA4D,Bank2,,サシ,차입 (差し),주법,중간 돌파 전략
0x0BA53,Bank2,,オイコミ,추입 (追い込み),주법,막판 추입 전략
0x0BA8D,Bank2,,ババジョウタイテキセイ,마장 상태 적성,말 정보,
0x0BAC6,Bank2,,バタイジュウノゾウゲン,마체중 증감,말 정보,
0x0BCAC,Bank2,,ハンデ連勝,핸디캡 연승,UI,
0x1814B,Bank6,,ミショウリセン,미승리전 (未勝利戦),경주명,미승리마 대상
0x18159,Bank6,,ケイセイ杯,게이세이배 (京成杯),경주명,
0x18175,Bank6,,ゲーマーS,게이머 S,경주명,게임 전용 경주
0x18199,Bank6,,ニッケイシンシュン杯,닛케이 신춘배,경주명,日経新春杯
0x181AA,Bank6,,シンバセン,신마전 (新馬戦),경주명,데뷔전
0x181B7,Bank6,,ダイヤモンドS,다이아몬드 스테이크스,경주명,
0x181C7,Bank6,,カツオS,가쓰오 S,경주명,게임 전용 가능성
0x181D2,Bank6,,トウキョウシンブン杯,도쿄신문배,경주명,東京新聞杯
0x181EF,Bank6,,キョウトツウシン杯4歳S,교토통신배 4세 S,경주명,
0x18204,Bank6,,キサラギショウ,기사라기상,경주명,
0x1821F,Bank6,,フェブラリーH,2월 핸디캡,경주명,
0x1822E,Bank6,,メグロキネン,메구로 기념,경주명,目黒記念
0x1823C,Bank6,,キョウトキネン,교토 기념,경주명,京都記念
0x18276,Bank6,,ホウチ杯ヤヨイショウ,호치배 야요이상,경주명,報知杯弥生賞
0x18287,Bank6,,ペガサスS,페가수스 스테이크스,경주명,
0x182A2,Bank6,,ナカヤマキネン,나카야마 기념,경주명,中山記念
0x182B0,Bank6,,ハンシンダイショウテン,한신 대상전,경주명,阪神大賞典
0x182FB,Bank6,,タイショウキネン,대상 기념,경주명,大賞記念
0x18325,Bank6,,マイニチ杯,마이니치배,경주명,毎日杯
0x1833C,Bank6,,ニッケイショウ,닛케이상,경주명,日経賞
0x1834A,Bank6,,サンケイオオサカ杯,산케이 오사카배,경주명,産経大阪杯
0x18368,Bank6,,クリスタルC,크리스탈 컵,경주명,
0x183DD,Bank6,,キョウト4歳特別,교토 4세 특별,경주명,
0x18422,Bank6,,ケイハン杯,게이한배,경주명,京阪杯
0x1846E,Bank6,,ハンキュウ杯,한큐배,경주명,阪急杯
0x18488,Bank6,,エプソムC,엡솜 컵,경주명,
0x184B2,Bank6,,CBCショウ,CBC상,경주명,
0x18504,Bank6,,タカマツミヤ杯,다카마쓰노미야배,경주명,高松宮杯
0x18563,Bank6,,サッポロ3歳S,삿포로 3세 스테이크스,경주명,
0x185EA,Bank6,,ニイガタ3歳S,니가타 3세 스테이크스,경주명,
0x185F9,Bank6,,コクラ3歳S,고쿠라 3세 스테이크스,경주명,
0x18626,Bank6,,セントウルS,센토르 스테이크스,경주명,
0x1868B,Bank6,,コウベシンブン杯,고베신문배,경주명,神戸新聞杯
0x1869C,Bank6,,ハコダテ3歳S,하코다테 3세 스테이크스,경주명,
0x186AB,Bank6,,マイニチオウカン,마이니치 왕관,경주명,毎日王冠
0x186BA,Bank6,,キョウトダイショウテン,교토 대상전,경주명,京都大賞典
0x186DA,Bank6,,キョウトシンブン杯,교토신문배,경주명,京都新聞杯
0x18715,Bank6,,スワンS,스완 스테이크스,경주명,
0x1873E,Bank6,,ネギシS,네기시 스테이크스,경주명,
0x18773,Bank6,,ケイセイ杯3歳S,게이세이배 3세 스테이크스,경주명,
0x18782,Bank6,,ミショウリ,미승리,UI,
0x187A4,Bank6,,マイルチャンピオンシップ,마일 챔피언십,경주명,
0x187D5,Bank6,,ヨコエ CUP,요코에 컵,경주명,게임 전용 (스태프 이름)
0x1880A,Bank6,,ステイヤーズS,스테이어즈 스테이크스,경주명,
0x18827,Bank6,,ナルオキネン,나루오 기념,경주명,鳴尾記念
0x18856,Bank6,,ウインターS,윈터 스테이크스,경주명,
0x1E9AA,Bank7,,引退まで4年ある,은퇴까지 4년 남았습니다,UI/대화,말 은퇴 알림
0x1E9BA,Bank7,,引退まで3年ある,은퇴까지 3년 남았습니다,UI/대화,말 은퇴 알림
0x1E9CA,Bank7,,引退まで2年しかない,은퇴까지 2년밖에 남지 않았습니다,UI/대화,말 은퇴 알림
